Дата,Период,Факт,Прогноз,Пред,Ед. изм.
01.12.2011,,402,390,393,тыс
08.12.2011,,381,395,402,тыс
15.12.2011,,366,390,381,тыс
22.12.2011,,364,375,366,тыс
29.12.2011,,381,375,364,тыс
05.01.2012,,372,375,381,тыс
12.01.2012,,399,375,372,тыс
19.01.2012,,352,385,399,тыс
26.01.2012,,377,370,352,тыс
02.02.2012,,367,375,377,тыс
09.02.2012,,358,370,367,тыс
16.02.2012,,348,365,358,тыс
23.02.2012,,351,354,348,тыс
01.03.2012,,351,351,351,тыс
08.03.2012,,362,351,351,тыс
15.03.2012,,351,356,362,тыс
22.03.2012,,348,354,351,тыс
29.03.2012,,359,350,348,тыс
05.04.2012,,357,355,359,тыс
12.04.2012,,380,355,357,тыс
19.04.2012,,386,370,380,тыс
26.04.2012,,388,375,386,тыс
03.05.2012,,365,380,388,тыс
10.05.2012,,367,369,365,тыс
17.05.2012,,370,365,367,тыс
24.05.2012,,370,370,370,тыс
31.05.2012,,383,370,370,тыс
07.06.2012,,377,377,383,тыс
14.06.2012,,386,375,377,тыс
21.06.2012,,387,380,386,тыс
28.06.2012,,386,385,387,тыс
05.07.2012,,374,385,386,тыс
12.07.2012,,350,372,374,тыс
19.07.2012,,386,365,350,тыс
26.07.2012,,353,380,386,тыс
02.08.2012,,365,370,353,тыс
09.08.2012,,361,370,365,тыс
16.08.2012,,366,365,361,тыс
23.08.2012,,372,365,366,тыс
30.08.2012,,374,370,372,тыс
06.09.2012,,365,370,374,тыс
13.09.2012,,382,370,365,тыс
20.09.2012,,382,375,382,тыс
27.09.2012,,359,378,382,тыс
04.10.2012,,367,370,359,тыс
11.10.2012,,339,370,367,тыс
18.10.2012,,388,365,339,тыс
25.10.2012,,369,370,388,тыс
01.11.2012,,363,370,369,тыс
08.11.2012,,355,370,363,тыс
15.11.2012,,439,375,355,тыс
21.11.2012,,410,410,439,тыс
06.12.2012,,370,380,393,тыс
13.12.2012,,343,370,370,тыс
20.12.2012,,361,357,343,тыс
27.12.2012,,350,360,361,тыс
03.01.2013,,372,,350,тыс
10.01.2013,,371,365,372,тыс
17.01.2013,,335,365,371,тыс
24.01.2013,,330,355,335,тыс
31.01.2013,,368,350,330,тыс
07.02.2013,,366,360,368,тыс
14.02.2013,,341,360,366,тыс
21.02.2013,,362,355,341,тыс
28.02.2013,,344,360,362,тыс
07.03.2013,,340,355,344,тыс
14.03.2013,,332,350,340,тыс
21.03.2013,,336,342,332,тыс
28.03.2013,,357,340,336,тыс
04.04.2013,,385,350,357,тыс
11.04.2013,,346,365,385,тыс
18.04.2013,,352,350,346,тыс
25.04.2013,,339,351,352,тыс
02.05.2013,,324,345,339,тыс
09.05.2013,,323,335,324,тыс
16.05.2013,,360,330,323,тыс
23.05.2013,,340,345,360,тыс
30.05.2013,,354,340,340,тыс
06.06.2013,,346,345,354,тыс
13.06.2013,,334,345,346,тыс
20.06.2013,,354,340,334,тыс
27.06.2013,,346,345,354,тыс
03.07.2013,,343,345,346,тыс
11.07.2013,,360,340,343,тыс
18.07.2013,,334,345,360,тыс
25.07.2013,,343,340,334,тыс
01.08.2013,,326,345,343,тыс
08.08.2013,,333,336,326,тыс
15.08.2013,,320,335,333,тыс
22.08.2013,,336,330,320,тыс
29.08.2013,,331,332,336,тыс
05.09.2013,,323,330,331,тыс
12.09.2013,,292,330,323,тыс
19.09.2013,,309,330,292,тыс
26.09.2013,,305,325,309,тыс
03.10.2013,,308,313,305,тыс
10.10.2013,,374,310,308,тыс
17.10.2013,,358,335,374,тыс
24.10.2013,,350,340,358,тыс
31.10.2013,,340,339,350,тыс
07.11.2013,,336,335,340,тыс
14.11.2013,,339,330,336,тыс
21.11.2013,,323,335,339,тыс
27.11.2013,,316,330,323,тыс
05.12.2013,,298,325,316,тыс
12.12.2013,,368,320,298,тыс
19.12.2013,,379,334,368,тыс
26.12.2013,,338,345,379,тыс
02.01.2014,,339,,338,тыс
09.01.2014,,330,335,339,тыс
16.01.2014,,326,328,330,тыс
23.01.2014,,326,326,326,тыс
30.01.2014,,348,330,326,тыс
06.02.2014,,331,335,348,тыс
13.02.2014,,339,330,331,тыс
20.02.2014,,336,335,339,тыс
27.02.2014,,348,335,336,тыс
06.03.2014,,323,338,348,тыс
13.03.2014,,315,330,323,тыс
20.03.2014,,320,325,315,тыс
27.03.2014,,311,325,320,тыс
03.04.2014,,326,317,311,тыс
10.04.2014,,300,320,326,тыс
17.04.2014,,304,315,300,тыс
24.04.2014,,329,310,304,тыс
01.05.2014,,344,319,329,тыс
08.05.2014,,319,325,344,тыс
15.05.2014,,297,320,319,тыс
22.05.2014,,326,310,297,тыс
29.05.2014,,300,318,326,тыс
05.06.2014,,312,310,300,тыс
12.06.2014,,317,310,312,тыс
19.06.2014,,312,314,317,тыс
26.06.2014,,312,310,312,тыс
03.07.2014,,315,314,312,тыс
10.07.2014,,304,315,315,тыс
17.07.2014,,302,310,304,тыс
24.07.2014,,284,308,302,тыс
31.07.2014,,302,301,284,тыс
07.08.2014,,289,305,302,тыс
14.08.2014,,311,295,289,тыс
21.08.2014,,298,300,311,тыс
28.08.2014,,298,300,298,тыс
04.09.2014,,302,300,298,тыс
11.09.2014,,315,300,302,тыс
18.09.2014,,280,305,315,тыс
25.09.2014,,293,300,280,тыс
02.10.2014,,287,297,293,тыс
09.10.2014,,287,294,287,тыс
16.10.2014,,264,290,287,тыс
23.10.2014,,283,282,264,тыс
30.10.2014,,287,283,283,тыс
06.11.2014,,278,285,287,тыс
13.11.2014,,290,280,278,тыс
20.11.2014,,291,285,290,тыс
26.11.2014,,313,290,291,тыс
04.12.2014,,297,295,313,тыс
11.12.2014,,294,295,297,тыс
18.12.2014,,289,295,294,тыс
24.12.2014,,280,290,289,тыс
31.12.2014,,298,290,280,тыс
08.01.2015,,294,290,298,тыс
15.01.2015,,316,291,294,тыс
22.01.2015,,307,300,316,тыс
29.01.2015,,265,300,307,тыс
05.02.2015,,278,290,265,тыс
12.02.2015,,304,285,278,тыс
19.02.2015,,283,285,304,тыс
26.02.2015,,313,290,283,тыс
05.03.2015,,320,295,313,тыс
12.03.2015,,289,305,320,тыс
19.03.2015,,291,292,289,тыс
26.03.2015,,282,290,291,тыс
02.04.2015,,268,286,282,тыс
09.04.2015,,281,285,268,тыс
16.04.2015,,294,280,281,тыс
23.04.2015,,295,290,294,тыс
30.04.2015,,262,290,295,тыс
07.05.2015,,265,280,262,тыс
14.05.2015,,264,275,265,тыс
21.05.2015,,274,271,264,тыс
28.05.2015,,282,270,274,тыс
04.06.2015,,276,279,282,тыс
11.06.2015,,279,275,276,тыс
18.06.2015,,267,275,279,тыс
25.06.2015,,271,272,267,тыс
02.07.2015,,281,275,271,тыс
09.07.2015,,297,285,281,тыс
16.07.2015,,281,285,297,тыс
23.07.2015,,255,280,281,тыс
30.07.2015,,267,270,255,тыс
06.08.2015,,270,273,267,тыс
13.08.2015,,274,270,270,тыс
20.08.2015,,277,272,274,тыс
27.08.2015,,271,274,277,тыс
03.09.2015,,282,275,271,тыс
10.09.2015,,275,275,282,тыс
17.09.2015,,264,275,275,тыс
24.09.2015,,267,271,264,тыс
01.10.2015,,277,270,267,тыс
08.10.2015,,263,274,277,тыс
15.10.2015,,255,270,263,тыс
22.10.2015,,259,265,255,тыс
29.10.2015,,260,263,259,тыс
05.11.2015,,276,270,260,тыс
12.11.2015,,276,270,276,тыс
19.11.2015,,271,270,276,тыс
25.11.2015,,260,268,271,тыс
03.12.2015,,269,268,260,тыс
10.12.2015,,282,269,269,тыс
17.12.2015,,271,275,282,тыс
24.12.2015,,267,270,271,тыс
31.12.2015,,287,270,267,тыс
07.01.2016,,277,275,287,тыс
14.01.2016,,284,275,277,тыс
21.01.2016,,293,278,284,тыс
28.01.2016,,278,282,293,тыс
04.02.2016,,285,280,278,тыс
11.02.2016,,269,281,285,тыс
18.02.2016,,262,275,269,тыс
25.02.2016,,272,270,262,тыс
03.03.2016,,278,271,272,тыс
10.03.2016,,259,275,278,тыс
17.03.2016,,265,268,259,тыс
24.03.2016,,265,265,265,тыс
31.03.2016,,276,265,265,тыс
07.04.2016,,267,270,276,тыс
14.04.2016,,253,270,267,тыс
21.04.2016,,247,263,253,тыс
28.04.2016,,257,260,247,тыс
05.05.2016,,274,260,257,тыс
12.05.2016,,294,270,274,тыс
19.05.2016,,278,275,294,тыс
26.05.2016,,268,275,278,тыс
02.06.2016,,267,270,268,тыс
09.06.2016,,264,270,267,тыс
16.06.2016,,277,270,264,тыс
23.06.2016,,259,270,277,тыс
30.06.2016,,268,267,259,тыс
07.07.2016,,254,270,268,тыс
14.07.2016,,254,265,254,тыс
21.07.2016,,253,265,254,тыс
28.07.2016,,266,260,253,тыс
04.08.2016,,269,265,266,тыс
11.08.2016,,266,265,269,тыс
18.08.2016,,262,265,266,тыс
25.08.2016,,261,265,262,тыс
01.09.2016,,263,265,261,тыс
08.09.2016,,259,265,263,тыс
15.09.2016,,260,265,259,тыс
22.09.2016,,252,262,260,тыс
29.09.2016,,254,260,252,тыс
06.10.2016,,249,257,254,тыс
13.10.2016,,246,254,249,тыс
20.10.2016,,260,250,246,тыс
27.10.2016,,258,260,260,тыс
03.11.2016,,265,263,258,тыс
10.11.2016,,254,259,265,тыс
17.11.2016,,235,257,254,тыс
23.11.2016,,251,250,235,тыс
01.12.2016,,268,253,251,тыс
